2026-08-19 16:00:35: Training starting
2026-08-19 16:00:37: New best reward -6.9 (-100.0%) at episode 0, saving model...
2026-08-19 16:00:37: New best reward -3.3 (-52.2%) at episode 5, saving model...
2026-08-19 16:00:38: New best reward -0.3 (-90.9%) at episode 172, saving model...
2026-08-19 16:00:43: New best reward 1.5 (-600.0%) at episode 941, saving model...
2026-08-19 16:01:00: New best reward 3.9 (+160.0%) at episode 3102, saving model...
2026-08-19 16:02:03: New best reward 4.5 (+15.4%) at episode 9494, saving model...
2026-08-19 16:02:18: New best reward 6.0 (+33.3%) at episode 10839, saving model...
2026-08-19 16:02:30: New best reward 6.1 (+1.7%) at episode 11756, saving model...
2026-08-19 16:02:53: New best reward 6.6 (+8.2%) at episode 13524, saving model...
2026-08-19 16:03:04: New best reward 6.7 (+1.5%) at episode 14315, saving model...
2026-08-19 16:03:09: New best reward 7.8 (+16.4%) at episode 14644, saving model...
2026-08-19 16:04:10: New best reward 8.4 (+7.7%) at episode 18947, saving model...
2026-08-19 16:05:15: New best reward 8.8 (+4.8%) at episode 23269, saving model...
